,count,mean,std,min,25%,50%,75%,max
a,200.0,0.5066720056270239,0.29007091834490834,0.014053835068929654,0.24652422423591738,0.5165068535629103,0.74696980718326,0.9994266947449618
b,200.0,0.5337071463525208,0.290343896286639,0.0022962451625593294,0.2872992782336946,0.5406335817578944,0.7876036997646388,0.9975586713309686
c,200.0,0.4943257837749626,0.29115015641633774,0.008501199151269012,0.24979733111704133,0.5223776310880704,0.7418799495431196,0.9948292482460638
d,200.0,0.5203543282730876,0.29875864962882803,0.005497876924847711,0.2583591764983436,0.5429163904144245,0.7793481938340221,0.9915499615865513
e,200.0,0.48735526631826853,0.29356605917666007,0.002157963289246334,0.21665555486119994,0.4773936812569335,0.7432825629672877,0.9955722966672673
f,200.0,0.5145528571058677,0.27834280184209703,0.001209829398652662,0.2752215358245603,0.5415478766273587,0.7550297508773784,0.9767459486522235
g,200.0,0.503600159421561,0.2982259312244031,0.004719981975454424,0.2397929312665563,0.5057150154882153,0.7692624895669341,0.9823866319208533
h,200.0,0.48434539030222823,0.2834123542505231,0.002233623331420964,0.24911453691595548,0.4931280325172435,0.7215996438088471,0.9818914005546495
i,200.0,0.4712658505131968,0.2925727314514304,0.001956485936447705,0.22087274452894845,0.43522732900329625,0.7195214590954647,0.9845098864978522
j,200.0,0.48349040101727275,0.2877981847965859,0.006513658860217486,0.24381461600240067,0.49388631739841354,0.7320575732157986,0.9953872727252364
k,200.0,0.5202148970434269,0.29455616406698565,0.0035065851239586276,0.26113407932773514,0.5228535762203392,0.7688951249530144,0.9997509834207738
l,200.0,0.5380556256788173,0.2957315129313143,0.0032278296406369478,0.28559417680881716,0.5851409700827238,0.7726616992134205,0.9944677214377546
m,200.0,0.4987626800555337,0.2756010217408537,0.0006370380101234918,0.28040764904071847,0.5146845762209695,0.7220185095975419,0.9890174755077871
n,200.0,0.46495847149298236,0.2940326555706308,0.02245218368367985,0.19416344384622336,0.43109722625964053,0.7359048488639301,0.9993506557814998
o,200.0,0.5212195960491399,0.2883319489577518,0.009264848938575154,0.25651260954187866,0.5399865647571402,0.7754149341378721,0.9965670059234653
p,200.0,0.4940218644274365,0.28359410400194607,0.004451389240914927,0.2485327772531594,0.49785551161990255,0.7316544184043916,0.9974892601287456
q,200.0,0.5009169962082375,0.2826287069875313,0.005602542080054951,0.2677304923647623,0.49920149424788257,0.7347430584950403,0.9949199808339481
r,200.0,0.47816764440347315,0.2824711079114272,0.001194034918471809,0.2534922212730852,0.481782937866596,0.7101590762980929,0.9985572767077078
s,200.0,0.5154741958022586,0.28813185865710716,0.013401936213576993,0.2616303228329926,0.5300307491442483,0.7574117968108057,0.9972161336125831
t,200.0,0.485250626011224,0.2911554730572955,0.002973397298165703,0.2108338698292612,0.4895939287433417,0.7486733217833883,0.996473067788378
u,200.0,0.5204048610371577,0.28457772582397906,0.008555466723771499,0.2726220497601779,0.5211470861433587,0.7367745618659377,0.9986909470259446
v,200.0,0.5235424175888685,0.2948880360769683,0.007563680947949236,0.26568955781659387,0.5521550960072539,0.7866656300274197,0.9991545915595506
w,200.0,0.5389592053461232,0.26426451643539667,0.017049716354295197,0.30190624911921893,0.5574721039927648,0.7566040723751486,0.9999636640120744
x,200.0,0.5019267308046909,0.2867305494333307,0.00560451347941493,0.2621061367893398,0.5216733142098079,0.7582998069769662,0.9917208188775855
y,200.0,0.5078377265486155,0.2737329563902312,0.0006837241703702146,0.2691793353238119,0.49458059929292,0.7407382245256431,0.9975860220692587
