,count,mean,std,min,25%,50%,75%,max
a,200.0,0.4839848311745898,0.2727658702018932,0.004125467283162432,0.25266857257505554,0.48300240000260886,0.726767076683843,0.9985865325937513
b,200.0,0.48232083439378104,0.2844600574541261,0.002885616624770604,0.2657334185188608,0.44819230734621,0.7352030173548492,0.9978714598538166
c,200.0,0.5008497985666335,0.2999340794062209,0.002796822051719716,0.2192179892547628,0.48306930468703724,0.7576031125287286,0.9957618473765341
d,200.0,0.5086188717537994,0.287197501751893,0.005226915723200221,0.2573430668595098,0.5167477688151538,0.7412649572421847,0.9977991573763852
e,200.0,0.49630096722148226,0.3018777881034389,0.0011044683227011687,0.2204179519812182,0.5150112100739965,0.7719479787388088,0.9981702298026971
f,200.0,0.47755203594674994,0.2854675139552673,0.0009151250276657752,0.226006227650612,0.4733743764178038,0.7445889874446777,0.9908844072866525
g,200.0,0.5024270240065464,0.2991785579767168,0.0014568491462623179,0.24814559319142063,0.49131622554668875,0.7730549511495701,0.994778072621943
h,200.0,0.5162701685772221,0.2829640049289995,0.0022963325141329705,0.30399255469598374,0.5049719362458962,0.739726320379945,0.997762612677279
i,200.0,0.5062576062671149,0.29637544655272025,0.0026606298768190317,0.25957429137778726,0.4852771474288297,0.783248427067224,0.9953148618692699
j,200.0,0.5468846555486522,0.2891046733293652,0.009285517971756585,0.34634368056352316,0.5805107497285937,0.789161232721256,0.9968639292398909
k,200.0,0.5025756921979903,0.29639441804552236,0.0014949561314020476,0.24106262935133427,0.5052378806337923,0.7655406052793641,0.9926553390135897
l,200.0,0.4924947921013502,0.2938997281584743,0.0035505992506382755,0.2392673713342555,0.5090460102464189,0.7516926955590839,0.9934530945748322
m,200.0,0.4880980790483305,0.2771943714430317,0.0006524569101238331,0.2818914764455821,0.4703155872623799,0.7561877093459691,0.9999952303900509
n,200.0,0.49528969784469384,0.29773140366408685,0.001994821392764745,0.23864648998643787,0.5023117170449507,0.7488430901323677,0.9796672745118779
o,200.0,0.5231010329168515,0.28590399121551885,0.00048619335301414157,0.2841712257917303,0.5444372622122904,0.7855071102191369,0.9958867583545012
p,200.0,0.5183278697246885,0.2932983625606508,0.023086488780576175,0.2530705836022954,0.5341411908090545,0.7934109432403356,0.9946277033320993
q,200.0,0.49918590350682623,0.2683577382095777,0.006522922331432368,0.27208189633098134,0.49999968749416324,0.700922199590577,0.9930085755742245
r,200.0,0.5143615929052978,0.2722995687211572,0.004176995171610409,0.28254016047387553,0.5246890765170238,0.7143020188009275,0.997750159421138
s,200.0,0.47412019366167657,0.29530174370727913,0.005847037322599613,0.20945366247025984,0.4804833464399441,0.7080314602227568,0.9932702955300355
t,200.0,0.49943910406553826,0.2869990992635475,0.002802682743465734,0.25777766276787484,0.5013990014237943,0.7362060208128541,0.9946609880231063
u,200.0,0.4529813128369031,0.2904445506778541,0.00036014383757931867,0.1916784061700251,0.42357649290073124,0.6994003506698363,0.9891672399281579
v,200.0,0.5198096309950014,0.29194751224690724,0.007918625148394476,0.2798455566719289,0.5216074383415337,0.7680682084530702,0.9978523204540006
w,200.0,0.4749605499894694,0.30956076896026263,0.004696904231140553,0.19180451823348488,0.46780016042285616,0.751770603178909,0.9951837391795527
x,200.0,0.5152648256544105,0.2987761393427443,0.0009886912592999009,0.24903306138734177,0.510947612732267,0.7996560817739276,0.9973584768999364
y,200.0,0.4856173241243731,0.2951930528896993,0.004988454351938176,0.2244896511416995,0.45666406975367785,0.7554291977744874,0.9994986572812086
